127.0.0.1 - - [26/Jan/2016:11:41:37 +1300] "GET / HTTP/1.1" 404 951
192.168.1.76 - - [26/Jan/2016:11:48:41 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:48:41 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:48:41 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:49 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:56:26 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:56:28 +1300] "GET /BreadCrumbs/rest/TrailManager/AddTrailView/215 HTTP/1.1" 200 17
192.168.1.76 - - [26/Jan/2016:11:56:28 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/215 HTTP/1.1" 200 12
192.168.1.76 - - [26/Jan/2016:11:56:29 +1300] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/215 HTTP/1.1" 200 313
192.168.1.76 - - [26/Jan/2016:11:56:29 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:56:33 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:56:33 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:56:33 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:57:47 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:57:47 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:57:47 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:58:23 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:58:23 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:58:23 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:58:27 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:58:27 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:58:27 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:58:28 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:58:28 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:58:30 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:58:34 +1300] "GET /BreadCrumbs/rest/TrailManager/AddTrailView/215 HTTP/1.1" 200 17
192.168.1.76 - - [26/Jan/2016:11:58:34 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/215 HTTP/1.1" 200 12
192.168.1.76 - - [26/Jan/2016:11:58:34 +1300] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/215 HTTP/1.1" 200 313
192.168.1.76 - - [26/Jan/2016:11:58:34 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:58:42 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:58:42 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:58:42 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
